date,close,open,high,low,change
5-Mar-24,572.29,572.29,572.29,558.37,2.37%
4-Mar-24,559.02,592.28,592.28,559.02,-5.46%
1-Mar-24,591.28,611.38,611.38,591.28,-3.29%
29-Feb-24,611.39,611.39,611.39,587.09,4.24%
28-Feb-24,586.54,701.09,701.09,586.54,-16.35%
27-Feb-24,701.22,701.22,701.22,676.05,3.73%
26-Feb-24,676,987.06,987.06,676,-31.43%
23-Feb-24,985.8,986.97,986.97,985.8,-0.02%
22-Feb-24,986.03,"1,004.87","1,004.87",986.03,-1.82%
21-Feb-24,"1,004.30","1,033.65","1,033.65","1,004.30",-2.84%
20-Feb-24,"1,033.64","1,044.56","1,044.56","1,033.64",-0.97%
19-Feb-24,"1,043.76","1,054.06","1,054.06","1,043.76",-0.80%
16-Feb-24,"1,052.22","1,052.22","1,052.22","1,030.60",2.20%
15-Feb-24,"1,029.52","1,072.42","1,072.42","1,029.52",-4.00%
14-Feb-24,"1,072.39","1,084.08","1,084.08","1,072.39",-1.06%
13-Feb-24,"1,083.92","1,083.92","1,083.92","1,018.63",6.47%
12-Feb-24,"1,018.09","1,018.09","1,018.09","1,013.44",0.60%
9-Feb-24,"1,012.03","1,012.03","1,012.03",981.46,3.16%
8-Feb-24,981.06,"1,058.45","1,058.45",981.06,-7.27%
7-Feb-24,"1,057.98","1,092.59","1,092.59","1,057.98",-3.21%
6-Feb-24,"1,093.06","1,126.14","1,126.14","1,093.06",-2.93%
5-Feb-24,"1,126.04","1,158.99","1,158.99","1,126.04",-2.51%
2-Feb-24,"1,155.05","1,163.83","1,163.83","1,155.05",-0.65%
1-Feb-24,"1,162.63","1,188.19","1,188.19","1,162.63",-2.11%
31-Jan-24,"1,187.73","1,245.72","1,245.72","1,187.73",-4.73%
30-Jan-24,"1,246.65","1,332.19","1,332.19","1,246.65",-6.41%
29-Jan-24,"1,332.04","1,332.04","1,332.04","1,295.76",2.92%
26-Jan-24,"1,294.29","1,294.29","1,294.29","1,287.82",0.46%
25-Jan-24,"1,288.31","1,288.31","1,288.31","1,218.26",5.78%
24-Jan-24,"1,217.93","1,239.90","1,239.90","1,217.93",-1.81%
23-Jan-24,"1,240.34","1,240.34","1,240.34","1,216.96",1.94%
22-Jan-24,"1,216.71","1,261.00","1,261.00","1,216.71",-3.39%
19-Jan-24,"1,259.44","1,326.84","1,326.84","1,259.44",-4.99%
18-Jan-24,"1,325.56","1,325.56","1,325.56","1,324.61",0.10%
17-Jan-24,"1,324.25","1,324.25","1,324.25","1,303.70",1.61%
16-Jan-24,"1,303.21","1,303.21","1,303.21","1,254.51",4.00%
15-Jan-24,"1,253.05","1,253.05","1,253.05","1,240.69",1.18%
12-Jan-24,"1,238.38","1,253.78","1,253.78","1,238.38",-1.21%
11-Jan-24,"1,253.58","1,256.38","1,256.38","1,253.58",-0.21%
10-Jan-24,"1,256.17","1,292.57","1,292.57","1,256.17",-2.86%
9-Jan-24,"1,293.10","1,317.58","1,317.58","1,293.10",-1.81%
8-Jan-24,"1,316.89","1,316.89","1,316.89","1,307.03",0.98%
5-Jan-24,"1,304.13","1,325.39","1,325.39","1,304.13",-1.51%
4-Jan-24,"1,324.12","1,324.12","1,324.12","1,248.08",6.18%
3-Jan-24,"1,247.02","1,247.02","1,247.02","1,187.47",5.06%
2-Jan-24,"1,186.96","1,186.96","1,186.96","1,097.69",8.27%
1-Jan-24,"1,096.33","1,096.33","1,096.33","1,096.33",0.12%
29-Dec-23,"1,094.97","1,116.62","1,116.62","1,094.97",-1.93%
28-Dec-23,"1,116.47","1,116.47","1,116.47","1,116.00",0.11%
27-Dec-23,"1,115.20","1,117.21","1,117.21","1,115.20",-0.12%
26-Dec-23,"1,116.57","1,116.57","1,116.57","1,116.13",0.08%
25-Dec-23,"1,115.67","1,115.67","1,115.67","1,115.67",0.13%
22-Dec-23,"1,114.24","1,142.22","1,142.22","1,114.24",-2.38%
