category,eventid,eventid2,DT_ENTRY,END_DT_ENTRY,color,strokePattern,loc
R_SPX,j7-,,4/16/2008,10/3/2008,,,
R_SPX,j8-,,10/6/2008,2/16/2009,,,
R_SPX,rv9+,,2/17/2009,10/22/2009,,,
R_SPX,j10+,,10/23/2009,5/19/2010,,,
R_SPX,j11+,,5/20/2010,1/31/2011,,,
R_SPX,rv12-,,2/1/2011,8/3/2011,,,
R_SPX,rv13+,,8/4/2011,5/8/2012,,,
R_SPX,j14+,,5/9/2012,10/22/2012,,,
R_SPX,j15+,,10/23/2012,5/2/2013,,,
R_SPX,j16+,,5/3/2013,10/16/2013,,,
R_SPX,j17+,,10/17/2013,2/11/2015,,,
R_SPX,rv18+,,2/12/2015,8/20/2015,,,
R_SPX,rv19+,,8/21/2015,1/5/2016,,,
R_SPX,j20+,,1/6/2016,9/8/2016,,,
R_SPX,j21+,,9/9/2016,3/21/2018,,,
R_SPX,j22+,,3/22/2018,10/9/2018,,,
R_SPX,rv23-,,10/10/2018,1/9/2019,,,
R_SPX,rv24+,,1/10/2019,2/14/2020,,,
R_SPX,rv25-,,2/17/2020,3/23/2020,,,
R_SPX,rv26+,,3/24/2020,9/3/2020,,,
R_SPX,j27+,,9/4/2020,1/4/2022,,,
R_SPX,rv28-,,1/5/2022,7/26/2022,,,
R_SPX,j29-,,7/27/2022,9/20/2022,,,
R_SPX,rv30+,,9/21/2022,9/20/2023,,,
R_SPX,j31+,,9/21/2023,4/11/2024,,,
R_SPX,j32+,,4/12/2024,7/23/2024,,,
R_SPX,j33+,,7/24/2024,12/6/2024,,,
fedmoves,F:init,rt:15,2/15/1980,2/15/1980,,,
fedmoves,F:+500,rt:20,3/3/1980,3/3/1980,,,
fedmoves,F:-850,rt:11.5,4/1/1980,4/1/1980,,,
fedmoves,F:-75,rt:10.75,5/22/1980,5/22/1980,,,
fedmoves,F:-125,rt:9.5,6/5/1980,6/5/1980,,,
fedmoves,F:+50,rt:10,8/7/1980,8/7/1980,,,
fedmoves,F:+100,rt:11,9/15/1980,9/15/1980,,,
fedmoves,F:+100,rt:12,9/26/1980,9/26/1980,,,
fedmoves,F:+175,rt:13.75,10/2/1980,10/2/1980,,,
fedmoves,F:+125,rt:15,11/7/1980,11/7/1980,,,
fedmoves,F:+300,rt:18,11/26/1980,11/26/1980,,,
fedmoves,F:+200,rt:20,12/5/1980,12/5/1980,,,
fedmoves,F:-200,rt:18,12/29/1980,12/29/1980,,,
fedmoves,F:+200,rt:20,1/8/1981,1/8/1981,,,
fedmoves,F:-400,rt:16,1/16/1981,1/16/1981,,,
fedmoves,F:+400,rt:20,5/8/1981,5/8/1981,,,
fedmoves,F:-450,rt:15.5,6/1/1981,6/1/1981,,,
fedmoves,F:-150,rt:14,11/2/1981,11/2/1981,,,
fedmoves,F:-100,rt:13,11/30/1981,11/30/1981,,,
fedmoves,F:-100,rt:12,12/4/1981,12/4/1981,,,
fedmoves,F:+300,rt:15,1/1/1982,1/1/1982,,,
fedmoves,F:-200,rt:13,4/1/1982,4/1/1982,,,
fedmoves,F:-150,rt:11.5,7/20/1982,7/20/1982,,,
fedmoves,F:-50,rt:11,8/2/1982,8/2/1982,,,
fedmoves,F:-50,rt:10.5,8/16/1982,8/16/1982,,,
fedmoves,F:-100,rt:9.5,8/27/1982,8/27/1982,,,
fedmoves,F:+50,rt:10,9/24/1982,9/24/1982,,,
fedmoves,F:-50,rt:9.5,10/12/1982,10/12/1982,,,
fedmoves,F:-50,rt:9,11/22/1982,11/22/1982,,,
fedmoves,F:-50,rt:8.5,12/15/1982,12/15/1982,,,
fedmoves,F:+113,rt:9.63,5/2/1983,5/2/1983,,,
fedmoves,F:-13,rt:9.5,9/1/1983,9/1/1983,,,
fedmoves,F:+100,rt:10.5,3/27/1984,3/27/1984,,,
fedmoves,F:+50,rt:11,7/2/1984,7/2/1984,,,
fedmoves,F:+75,rt:11.75,8/21/1984,8/21/1984,,,
fedmoves,F:-175,rt:10,10/2/1984,10/2/1984,,,
fedmoves,F:-50,rt:9.5,11/7/1984,11/7/1984,,,
fedmoves,F:-50,rt:9,11/22/1984,11/22/1984,,,
fedmoves,F:-25,rt:8.75,12/18/1984,12/18/1984,,,
fedmoves,F:-50,rt:8.25,12/24/1984,12/24/1984,,,
fedmoves,F:+75,rt:9,2/13/1985,2/13/1985,,,
fedmoves,F:-50,rt:8.5,3/29/1985,3/29/1985,,,
fedmoves,F:-25,rt:8.25,4/16/1985,4/16/1985,,,
fedmoves,F:-50,rt:7.75,5/21/1985,5/21/1985,,,
fedmoves,F:+25,rt:8,8/20/1985,8/20/1985,,,
fedmoves,F:-25,rt:7.75,12/17/1985,12/17/1985,,,
fedmoves,F:-50,rt:7.25,3/7/1986,3/7/1986,,,
fedmoves,F:-50,rt:6.75,4/21/1986,4/21/1986,,,
fedmoves,F:+13,rt:6.88,5/20/1986,5/20/1986,,,
fedmoves,F:-50,rt:6.38,7/11/1986,7/11/1986,,,
fedmoves,F:-50,rt:5.88,8/19/1986,8/19/1986,,,
fedmoves,F:+12,rt:6,12/16/1986,12/16/1986,,,
fedmoves,F:+50,rt:6.5,4/30/1987,4/30/1987,,,
fedmoves,F:+25,rt:6.75,5/20/1987,5/20/1987,,,
fedmoves,F:+25,rt:7,9/3/1987,9/3/1987,,,
fedmoves,F:+25,rt:7.25,9/4/1987,9/4/1987,,,
fedmoves,F:-37,rt:6.88,10/19/1987,10/19/1987,,,
fedmoves,F:-25,rt:6.63,1/5/1988,1/5/1988,,,
fedmoves,F:-13,rt:6.5,2/10/1988,2/10/1988,,,
fedmoves,F:+25,rt:6.75,3/29/1988,3/29/1988,,,
fedmoves,F:+25,rt:7,5/17/1988,5/17/1988,,,
fedmoves,F:+25,rt:7.25,5/25/1988,5/25/1988,,,
fedmoves,F:+25,rt:7.5,6/22/1988,6/22/1988,,,
fedmoves,F:+25,rt:7.75,7/19/1988,7/19/1988,,,
fedmoves,F:+50,rt:8.25,8/9/1988,8/9/1988,,,
fedmoves,F:+13,rt:8.38,11/22/1988,11/22/1988,,,
fedmoves,F:+37,rt:8.75,12/14/1988,12/14/1988,,,
fedmoves,F:+25,rt:9,2/8/1989,2/8/1989,,,
fedmoves,F:+38,rt:9.38,2/14/1989,2/14/1989,,,
fedmoves,F:+25,rt:9.63,2/23/1989,2/23/1989,,,
fedmoves,F:+12,rt:9.75,2/24/1989,2/24/1989,,,
fedmoves,F:-12,rt:9.63,6/5/1989,6/5/1989,,,
fedmoves,F:-38,rt:9.25,7/6/1989,7/6/1989,,,
fedmoves,F:-25,rt:9,7/26/1989,7/26/1989,,,
fedmoves,F:-50,rt:8.5,10/18/1989,10/18/1989,,,
fedmoves,F:-25,rt:8.25,12/19/1989,12/19/1989,,,
fedmoves,F:-25,rt:8,7/13/1990,7/13/1990,,,
fedmoves,F:-25,rt:7.75,10/29/1990,10/29/1990,,,
fedmoves,F:-25,rt:7.5,11/14/1990,11/14/1990,,,
fedmoves,F:-25,rt:7.25,12/7/1990,12/7/1990,,,
fedmoves,F:-25,rt:7,12/19/1990,12/19/1990,,,
fedmoves,F:-25,rt:6.75,1/9/1991,1/9/1991,,,
fedmoves,F:-50,rt:6.25,2/1/1991,2/1/1991,,,
fedmoves,F:-25,rt:6,3/8/1991,3/8/1991,,,
fedmoves,F:-25,rt:5.75,4/30/1991,4/30/1991,,,
fedmoves,F:-25,rt:5.5,8/6/1991,8/6/1991,,,
fedmoves,F:-25,rt:5.25,9/13/1991,9/13/1991,,,
fedmoves,F:-25,rt:5,10/31/1991,10/31/1991,,,
fedmoves,F:-25,rt:4.75,11/6/1991,11/6/1991,,,
fedmoves,F:-25,rt:4.5,12/6/1991,12/6/1991,,,
fedmoves,F:-50,rt:4,12/20/1991,12/20/1991,,,
fedmoves,F:-25,rt:3.75,4/9/1992,4/9/1992,,,
fedmoves,F:-50,rt:3.25,7/2/1992,7/2/1992,,,
fedmoves,F:-25,rt:3,9/4/1992,9/4/1992,,,
fedmoves,F:+25,rt:3.25,2/4/1994,2/4/1994,,,
fedmoves,F:+25,rt:3.5,3/22/1994,3/22/1994,,,
fedmoves,F:+25,rt:3.75,4/18/1994,4/18/1994,,,
fedmoves,F:+50,rt:4.25,5/17/1994,5/17/1994,,,
fedmoves,F:+50,rt:4.75,8/16/1994,8/16/1994,,,
fedmoves,F:+75,rt:5.5,11/15/1994,11/15/1994,,,
fedmoves,F:+50,rt:6,2/1/1995,2/1/1995,,,
fedmoves,F:-25,rt:5.75,7/6/1995,7/6/1995,,,
fedmoves,F:-25,rt:5.5,12/19/1995,12/19/1995,,,
fedmoves,F:-25,rt:5.25,1/31/1996,1/31/1996,,,
fedmoves,F:+25,rt:5.5,3/25/1997,3/25/1997,,,
fedmoves,F:-25,rt:5.25,9/29/1998,9/29/1998,,,
fedmoves,F:-25,rt:5,10/15/1998,10/15/1998,,,
fedmoves,F:-25,rt:4.75,11/17/1998,11/17/1998,,,
fedmoves,F:+25,rt:5,6/30/1999,6/30/1999,,,
fedmoves,F:+25,rt:5.25,8/24/1999,8/24/1999,,,
fedmoves,F:+25,rt:5.5,11/16/1999,11/16/1999,,,
fedmoves,F:+25,rt:5.75,2/2/2000,2/2/2000,,,
fedmoves,F:+25,rt:6,3/21/2000,3/21/2000,,,
fedmoves,F:+50,rt:6.5,5/16/2000,5/16/2000,,,
fedmoves,F:-50,rt:6,1/3/2001,1/3/2001,,,
fedmoves,F:-50,rt:5.5,1/31/2001,1/31/2001,,,
fedmoves,F:-50,rt:5,3/20/2001,3/20/2001,,,
fedmoves,F:-50,rt:4.5,4/18/2001,4/18/2001,,,
fedmoves,F:-50,rt:4,5/15/2001,5/15/2001,,,
fedmoves,F:-25,rt:3.75,6/27/2001,6/27/2001,,,
fedmoves,F:-25,rt:3.5,8/21/2001,8/21/2001,,,
fedmoves,F:-50,rt:3,9/17/2001,9/17/2001,,,
fedmoves,F:-50,rt:2.5,10/2/2001,10/2/2001,,,
fedmoves,F:-50,rt:2,11/6/2001,11/6/2001,,,
fedmoves,F:-25,rt:1.75,12/11/2001,12/11/2001,,,
fedmoves,F:-50,rt:1.25,11/6/2002,11/6/2002,,,
fedmoves,F:-25,rt:1,6/25/2003,6/25/2003,,,
fedmoves,F:+25,rt:1.25,6/30/2004,6/30/2004,,,
fedmoves,F:+25,rt:1.5,8/10/2004,8/10/2004,,,
fedmoves,F:+25,rt:1.75,9/21/2004,9/21/2004,,,
fedmoves,F:+25,rt:2,11/10/2004,11/10/2004,,,
fedmoves,F:+25,rt:2.25,12/14/2004,12/14/2004,,,
fedmoves,F:+25,rt:2.5,2/2/2005,2/2/2005,,,
fedmoves,F:+25,rt:2.75,3/22/2005,3/22/2005,,,
fedmoves,F:+25,rt:3,5/3/2005,5/3/2005,,,
fedmoves,F:+25,rt:3.25,6/30/2005,6/30/2005,,,
fedmoves,F:+25,rt:3.5,8/9/2005,8/9/2005,,,
fedmoves,F:+25,rt:3.75,9/20/2005,9/20/2005,,,
fedmoves,F:+25,rt:4,11/1/2005,11/1/2005,,,
fedmoves,F:+25,rt:4.25,12/13/2005,12/13/2005,,,
fedmoves,F:+25,rt:4.5,1/31/2006,1/31/2006,,,
fedmoves,F:+25,rt:4.75,3/28/2006,3/28/2006,,,
fedmoves,F:+25,rt:5,5/10/2006,5/10/2006,,,
fedmoves,F:+25,rt:5.25,6/29/2006,6/29/2006,,,
fedmoves,F:-50,rt:4.75,9/18/2007,9/18/2007,,,
fedmoves,F:-25,rt:4.5,10/31/2007,10/31/2007,,,
